Age,Education Level,Years of Experience,Role,Department,Location,Salary
28,PhD,6,Software Engineer,Finance,San Francisco,146097.73
34,Associate,3,Consultant,Customer Support,Seattle,71143.51
39,Associate,13,Data Scientist,IT,New York,127595.79
47,Associate,24,Manager,Finance,Austin,138443.11
28,High School,5,Consultant,Customer Support,Boston,83874.24
45,Bachelor,19,System Administrator,Finance,Chicago,102580.21
37,Associate,1,Data Analyst,Operations,Seattle,64861.53
41,PhD,13,Manager,IT,Boston,169655.07
22,Associate,0,Data Analyst,IT,New York,58979.5
54,High School,29,QA Engineer,Product,Los Angeles,141274.26
25,PhD,2,QA Engineer,Marketing,Los Angeles,94048.74
23,Bachelor,1,System Administrator,HR,New York,72147.4
25,Master,0,Software Engineer,Finance,Chicago,70468.99
27,Master,1,Data Scientist,HR,Austin,85806.89
45,Bachelor,8,Data Analyst,Finance,New York,102927.87
49,High School,18,System Administrator,IT,Austin,95123.79
44,High School,7,Consultant,Finance,Chicago,69130.81
30,Bachelor,2,Data Scientist,HR,New York,84401.76
59,Master,10,Business Analyst,Finance,Seattle,120242.03
42,PhD,16,QA Engineer,Product,Austin,124271.93
28,Associate,0,QA Engineer,Product,San Francisco,65293.17
26,Master,1,Business Analyst,Customer Support,Austin,70843.51
50,PhD,18,Data Scientist,Product,New York,195842.09
28,Bachelor,4,QA Engineer,Product,Los Angeles,65680.78
58,Associate,18,Data Scientist,HR,Boston,146389.14
49,High School,1,QA Engineer,HR,Austin,45520.3
38,Bachelor,1,Data Scientist,Marketing,Chicago,71180.44
31,High School,4,Product Manager,Marketing,Chicago,75405.9
39,Master,3,Data Analyst,Customer Support,Los Angeles,93691.28
60,High School,31,Business Analyst,Product,Chicago,149364.29
39,Associate,2,Business Analyst,Finance,Los Angeles,67545.05
22,Master,0,Data Scientist,Finance,Seattle,89312.54
24,Master,2,Data Analyst,HR,New York,83626.64
51,Master,28,System Administrator,Product,Chicago,139201.62
46,PhD,13,Data Scientist,HR,Austin,152403.4
56,PhD,25,Consultant,Finance,Chicago,180288.97
39,PhD,13,Consultant,IT,New York,160808.49
58,High School,8,Manager,Marketing,Chicago,92088.45
26,PhD,0,System Administrator,HR,New York,103110.15
23,Master,1,Data Analyst,Product,Chicago,67109.79
49,High School,15,Data Scientist,Product,New York,126833.82
48,Bachelor,22,Product Manager,Customer Support,Austin,139317.21
45,Master,19,System Administrator,Operations,Seattle,126514.59
57,Bachelor,19,QA Engineer,HR,Los Angeles,132232.22
23,Bachelor,0,QA Engineer,HR,Austin,43871.42
40,Bachelor,4,System Administrator,IT,Los Angeles,73426.43
58,Master,3,Consultant,Finance,San Francisco,118507.27
34,High School,12,Consultant,Operations,Los Angeles,85757.38
45,Bachelor,5,System Administrator,Finance,Chicago,75750.39
54,Associate,17,Software Engineer,Finance,Boston,122827.91
60,High School,15,Business Analyst,Customer Support,Austin,91146.55
32,High School,9,Business Analyst,Product,Boston,81198.42
32,PhD,6,Business Analyst,Marketing,Seattle,119255.51
58,Associate,27,Data Scientist,Product,Austin,145079.9
56,Master,13,Consultant,Customer Support,Seattle,148134.19
34,Associate,12,Data Analyst,Marketing,Chicago,82055.08
55,Bachelor,2,Manager,Operations,Seattle,87430.89
28,PhD,3,System Administrator,HR,Boston,104937.59
58,PhD,14,System Administrator,IT,Austin,120706.44
39,Bachelor,7,Data Analyst,Marketing,San Francisco,105450.49
36,Bachelor,6,Software Engineer,Finance,Boston,91829.23
36,High School,5,System Administrator,Operations,Chicago,54854.1
54,PhD,24,Software Engineer,Customer Support,Chicago,191494.26
47,Bachelor,24,Manager,Finance,Los Angeles,183224.09
52,High School,2,Product Manager,Marketing,Chicago,73278.81
26,Master,2,Software Engineer,Customer Support,Austin,83919.68
47,PhD,20,Manager,Customer Support,Chicago,186605.22
33,Associate,5,System Administrator,Finance,Boston,63007.8
33,Associate,8,Consultant,Marketing,San Francisco,101766.79
39,High School,14,Business Analyst,Customer Support,Boston,96046.47
41,Master,3,Consultant,IT,Seattle,92977.12
48,PhD,11,System Administrator,IT,Los Angeles,144430.49
40,Bachelor,0,Business Analyst,Customer Support,Austin,63762.14
24,Master,2,QA Engineer,HR,Seattle,85812.58
33,Master,1,Business Analyst,Finance,Boston,83699.95
52,High School,30,Manager,HR,Boston,169231.15
39,Bachelor,2,Manager,IT,San Francisco,103566.35
27,Master,1,Product Manager,Operations,New York,110898.41
22,Master,0,Software Engineer,Marketing,New York,92778.96
27,Associate,2,Business Analyst,Product,Boston,64485.49
36,PhD,8,Data Analyst,Finance,Boston,126079.99
28,Associate,4,Data Analyst,Product,Chicago,53732.24
26,PhD,2,Manager,Finance,Austin,110500.99
23,PhD,1,Software Engineer,Product,Chicago,107219.6
47,PhD,13,System Administrator,Operations,Los Angeles,142243.18
32,Associate,8,QA Engineer,HR,Boston,76793.63
38,Bachelor,12,Manager,Customer Support,San Francisco,134387.93
28,Associate,0,Consultant,Marketing,New York,62529.25
30,High School,5,Product Manager,Customer Support,New York,93866.02
57,High School,6,Data Scientist,Customer Support,Boston,88296.41
55,High School,28,Software Engineer,HR,Boston,145623.29
27,High School,3,System Administrator,IT,Boston,49329.08
60,Bachelor,6,Data Scientist,IT,Boston,106703.69
58,Master,24,Consultant,IT,Los Angeles,178713.04
34,Associate,7,System Administrator,Finance,San Francisco,87366.16
46,Associate,21,Data Scientist,Customer Support,New York,150419.36
58,High School,28,Manager,IT,Austin,143860.28
32,Bachelor,3,Manager,HR,San Francisco,109364.93
26,Bachelor,1,System Administrator,Operations,Austin,54806.27
32,Master,5,Product Manager,Operations,Seattle,128688.03
47,High School,13,Data Scientist,Operations,Chicago,104377.71
33,High School,3,Consultant,Product,New York,65528.76
37,Bachelor,0,Data Scientist,HR,Los Angeles,89793.1
27,Associate,4,QA Engineer,HR,San Francisco,74103.73
44,Bachelor,19,Business Analyst,Product,Seattle,117073.46
53,Associate,10,Data Scientist,IT,Los Angeles,121019.42
50,High School,18,System Administrator,Operations,Austin,91565.36
58,High School,19,Data Analyst,Marketing,New York,120388.93
37,Master,9,Software Engineer,HR,New York,141140.36
55,High School,1,QA Engineer,Customer Support,New York,63440.89
40,Master,13,Product Manager,HR,Boston,154940.74
50,Master,20,Software Engineer,Finance,Boston,170747.23
43,High School,14,Data Analyst,HR,Chicago,85269.31
42,PhD,16,Software Engineer,Operations,Seattle,166565.43
24,High School,1,Product Manager,Customer Support,Chicago,56706.08
38,PhD,3,Business Analyst,Product,Austin,101096.66
59,PhD,12,Data Scientist,Customer Support,Chicago,153982.88
59,PhD,20,Consultant,Operations,Boston,200295.35
58,Bachelor,36,Software Engineer,Product,New York,202806.47
44,Associate,21,Business Analyst,IT,New York,133570.67
47,High School,21,Business Analyst,Finance,Chicago,115509.26
22,Master,0,Software Engineer,IT,San Francisco,93415.91
40,High School,7,Consultant,Product,Seattle,84886.28
41,Bachelor,11,Product Manager,Product,Austin,107763.8
28,Master,5,System Administrator,Marketing,Boston,89774.96
52,PhD,25,QA Engineer,IT,Seattle,171332.57
58,PhD,25,Data Scientist,IT,San Francisco,241451.7
42,Master,6,Business Analyst,Product,Austin,88698.34
36,Master,1,Data Scientist,Product,Seattle,100917.1
47,PhD,12,System Administrator,Product,San Francisco,153166.87
59,PhD,28,Manager,Customer Support,Seattle,230177.26
41,High School,11,QA Engineer,Marketing,Los Angeles,76724.83
54,High School,30,System Administrator,Customer Support,Los Angeles,149184.51
28,High School,0,Data Scientist,Customer Support,Chicago,51796.89
42,Bachelor,1,Business Analyst,HR,New York,77563.32
45,Master,1,System Administrator,HR,Austin,65040.41
52,Associate,15,Business Analyst,HR,Chicago,96722.62
26,PhD,1,Consultant,Customer Support,Seattle,112741.82
23,PhD,1,Product Manager,Customer Support,Chicago,127885.77
35,High School,3,Data Scientist,IT,Chicago,69961.79
49,Bachelor,11,Consultant,Operations,New York,115534.28
33,Associate,9,Data Analyst,Customer Support,Los Angeles,87220.26
45,Associate,20,Software Engineer,Marketing,Austin,114353.65
26,High School,3,Manager,Finance,Seattle,73207.78
41,Bachelor,6,QA Engineer,Product,New York,95441.39
22,High School,0,QA Engineer,HR,San Francisco,35895.8
32,Master,9,Software Engineer,HR,Boston,120205.57
27,High School,0,Manager,IT,Seattle,49910.51
26,Associate,0,Product Manager,Customer Support,Los Angeles,72266.51
38,PhD,8,Data Scientist,Marketing,Seattle,159672.19
28,High School,6,Data Analyst,Operations,Chicago,52679.59
42,High School,16,System Administrator,HR,Chicago,83408.16
44,Bachelor,1,Business Analyst,Product,Chicago,66161.67
25,High School,3,QA Engineer,Customer Support,Los Angeles,51132.02
44,Associate,10,System Administrator,Product,New York,92366.49
37,High School,6,Data Scientist,Finance,Los Angeles,80273.42
25,PhD,3,Data Scientist,HR,San Francisco,152369.79
27,Bachelor,2,QA Engineer,Finance,Seattle,66836.27
59,Master,13,Product Manager,Operations,Seattle,175520.59
46,Associate,15,Data Scientist,Marketing,Austin,108983.14
42,Master,3,Data Analyst,Finance,Chicago,90421.99
30,Associate,3,Data Analyst,HR,Austin,54446.29
25,Master,3,Product Manager,Operations,Chicago,110084.3
42,High School,7,Software Engineer,Operations,Boston,84702.39
47,High School,0,Data Scientist,Customer Support,Seattle,70180.24
44,Bachelor,9,System Administrator,Customer Support,New York,87857.59
58,High School,17,Product Manager,HR,Chicago,125042.69
44,PhD,0,Data Analyst,Marketing,Los Angeles,113488.17
38,High School,6,System Administrator,Operations,San Francisco,80022.88
54,Bachelor,3,Data Analyst,Marketing,Boston,81435.72
38,Associate,2,Software Engineer,Operations,New York,79805.52
55,High School,32,Data Scientist,HR,Boston,181174.87
59,Bachelor,9,Product Manager,Customer Support,New York,140926.39
37,High School,2,Product Manager,Marketing,Seattle,75433.62
35,High School,11,System Administrator,HR,New York,85169.25
52,Master,16,Data Scientist,Finance,San Francisco,175792.76
58,Bachelor,26,Software Engineer,Operations,Seattle,168402.41
54,Bachelor,23,Data Analyst,Finance,Los Angeles,137904.65
33,Associate,2,QA Engineer,Product,Seattle,60742.91
57,Bachelor,25,Data Analyst,Operations,Boston,153339.45
35,Bachelor,4,Business Analyst,Operations,Seattle,72633.58
34,Master,5,Data Analyst,HR,Austin,76984.29
52,High School,26,Data Analyst,HR,Austin,111633.21
37,Bachelor,7,QA Engineer,HR,Chicago,79085.27
40,Associate,3,Software Engineer,Finance,Seattle,78643.9
31,Bachelor,0,Business Analyst,Customer Support,Chicago,60637.19
51,Bachelor,11,Product Manager,IT,New York,139229.82
30,PhD,3,Product Manager,Customer Support,New York,153672.86
52,Bachelor,15,Business Analyst,HR,Chicago,110607.99
49,Associate,13,QA Engineer,Marketing,Austin,69936.08
52,High School,17,Manager,Marketing,Boston,131839.88
38,PhD,2,Data Scientist,Product,Austin,120686.63
46,High School,3,Data Scientist,Marketing,Los Angeles,71951.07
49,Associate,6,Software Engineer,HR,San Francisco,101502.09
55,PhD,11,Manager,HR,Boston,178025.26
33,Master,5,Product Manager,Finance,New York,119733.92
24,Associate,1,QA Engineer,HR,Boston,48965.98
55,Associate,19,Manager,IT,New York,153080.53
46,Associate,17,QA Engineer,Product,New York,109871.56
49,Associate,25,Data Scientist,Operations,Boston,172638.32
28,Master,0,QA Engineer,Product,Los Angeles,78406.8
57,Bachelor,30,Data Scientist,IT,New York,203172.02
41,High School,11,Consultant,Finance,Los Angeles,102532.13
31,Bachelor,8,Software Engineer,Finance,Boston,99481.85
54,Associate,3,Consultant,Marketing,Chicago,69105.85
41,High School,8,System Administrator,Operations,Austin,55472.16
49,PhD,23,Data Scientist,Product,Los Angeles,215369.01
39,High School,14,Business Analyst,Finance,Seattle,94852.05
59,High School,28,Business Analyst,Customer Support,New York,153150.72
49,Associate,20,Manager,IT,Chicago,129440.36
22,High School,0,Data Scientist,Marketing,San Francisco,64088.43
51,Bachelor,9,Product Manager,Operations,New York,134151.19
42,PhD,0,Business Analyst,HR,Seattle,117981.71
53,Master,19,Consultant,Finance,Chicago,150750.61
56,PhD,22,Manager,IT,San Francisco,245505.08
56,Master,26,QA Engineer,Product,Boston,148862.86
57,PhD,13,Business Analyst,Finance,New York,155563.63
44,High School,18,Data Scientist,Finance,San Francisco,137919.12
33,Associate,7,Data Analyst,Marketing,Chicago,63435.39
38,Bachelor,1,Business Analyst,Finance,New York,79225.98
50,PhD,27,Software Engineer,Finance,San Francisco,232894.59
43,PhD,1,Product Manager,Operations,Boston,146457.13
52,High School,9,Consultant,Customer Support,San Francisco,95133.98
24,Bachelor,1,Product Manager,Customer Support,Chicago,70291.78
33,Bachelor,6,QA Engineer,Customer Support,Austin,74891.52
31,PhD,2,Software Engineer,Finance,New York,127590.29
34,Bachelor,6,Product Manager,HR,Boston,106173.64
59,Master,5,Product Manager,Customer Support,New York,142666.7
51,Bachelor,25,Data Scientist,Customer Support,Los Angeles,176064.37
34,Master,6,Product Manager,Marketing,Boston,133049.56
55,Associate,14,Data Analyst,IT,Seattle,101571.13
57,Associate,33,Manager,Product,Seattle,190759.97
50,Bachelor,27,System Administrator,Product,Los Angeles,151010.84
31,High School,0,System Administrator,IT,New York,46265.95
29,Master,3,Product Manager,HR,Chicago,105615.68
33,Associate,11,Software Engineer,Product,Seattle,92738.85
30,Master,6,Business Analyst,Operations,Seattle,90098.83
60,Master,33,Business Analyst,Operations,Chicago,173453.43
55,High School,26,Product Manager,Product,Boston,170414.81
39,Master,2,Product Manager,Marketing,Austin,102503.72
34,Bachelor,5,System Administrator,Operations,Austin,72223.59
54,Associate,5,Product Manager,HR,Boston,100394.07
29,Bachelor,1,Software Engineer,Operations,Austin,60776.19
31,Bachelor,7,Manager,HR,Chicago,88594.68
45,High School,3,Data Scientist,IT,Seattle,76541.87
48,Associate,3,Software Engineer,Product,Chicago,83974.48
35,Associate,5,Data Scientist,Marketing,Boston,96858.26
45,High School,5,Consultant,Product,San Francisco,86527.8
36,Associate,0,Consultant,Marketing,New York,68135.28
44,Associate,7,Product Manager,Product,San Francisco,119495.33
22,Associate,0,QA Engineer,Operations,Seattle,52794.45
28,High School,6,Consultant,Product,Los Angeles,74761.78
22,Associate,0,Data Scientist,Finance,Boston,60712.37
31,PhD,3,Consultant,HR,Boston,124802.44
31,Bachelor,3,Consultant,Marketing,Austin,71546.86
30,Bachelor,1,Business Analyst,Marketing,Chicago,63330.1
42,PhD,15,System Administrator,Operations,Seattle,138409.55
34,Associate,11,System Administrator,Finance,Seattle,86855.28
32,Associate,0,QA Engineer,IT,San Francisco,61402.88
49,Master,27,Software Engineer,HR,New York,191162.74
28,Bachelor,6,Data Analyst,IT,Boston,76267.43
22,PhD,0,Data Analyst,Product,Chicago,95284.11
23,High School,0,Product Manager,IT,Los Angeles,65111.78
42,Associate,20,Software Engineer,HR,San Francisco,149951.21
46,Associate,1,System Administrator,Marketing,Austin,57211.53
56,Associate,6,Data Scientist,Finance,Los Angeles,102926.6
51,Master,2,Data Analyst,Product,New York,105191.95
51,Bachelor,14,Data Scientist,Finance,Seattle,138234.52
36,High School,0,QA Engineer,IT,Seattle,51832.25
31,High School,3,Product Manager,Finance,San Francisco,84409.54
46,Associate,9,Business Analyst,HR,Austin,79506.3
27,PhD,5,Manager,HR,Boston,148489.63
34,Associate,5,Business Analyst,Product,Seattle,76525.06
23,Associate,0,System Administrator,Product,Los Angeles,52885.46
48,PhD,16,Data Scientist,Operations,Seattle,181769.61
36,PhD,12,Business Analyst,HR,New York,158048.23
50,Master,18,Consultant,Product,New York,167055.55
57,PhD,7,Data Analyst,IT,New York,153369.95
37,Master,1,Manager,Operations,New York,113607.21
46,Bachelor,21,Software Engineer,Customer Support,Seattle,151465.28
55,Master,14,Consultant,Product,Los Angeles,140063.47
53,Associate,8,System Administrator,Operations,San Francisco,96724.37
52,High School,24,QA Engineer,IT,Seattle,110970.92
60,PhD,35,Data Scientist,HR,New York,268991.64
52,High School,30,Business Analyst,Customer Support,Boston,150740.06
49,High School,13,Product Manager,IT,Boston,134097.87
48,Master,10,QA Engineer,Finance,San Francisco,120162.96
31,Associate,9,Data Analyst,Marketing,Seattle,76634.78
52,High School,19,Software Engineer,Operations,Seattle,129475.57
28,High School,1,Data Analyst,Finance,Los Angeles,51480.3
32,Master,5,Data Scientist,Marketing,Boston,117362.51
60,Associate,9,Data Analyst,Customer Support,Seattle,98307.81
60,High School,33,Business Analyst,Marketing,San Francisco,179183.54
35,Bachelor,13,Data Analyst,Product,San Francisco,107772.2
44,Master,6,System Administrator,Operations,New York,102960.77
33,Master,5,Business Analyst,Product,Los Angeles,102973.54
24,Bachelor,1,Software Engineer,Marketing,Seattle,68938.06
53,High School,22,Data Analyst,Customer Support,Boston,114998.19
34,High School,11,Manager,HR,Los Angeles,117983.11
27,Master,5,QA Engineer,IT,Boston,91152.66
45,Bachelor,9,Software Engineer,IT,New York,112234.55
31,Associate,8,Data Analyst,Product,Austin,56012.98
56,Associate,23,Data Analyst,IT,Austin,119856.02
24,High School,0,Manager,IT,Chicago,52648.31
39,PhD,9,Data Scientist,Marketing,Boston,155624.79
26,PhD,0,System Administrator,Customer Support,Seattle,102329.64
27,High School,3,QA Engineer,Customer Support,Los Angeles,53476.61
44,Master,12,Product Manager,Customer Support,Seattle,147745.4
26,PhD,2,Consultant,Marketing,Austin,93648.06
44,Associate,1,Business Analyst,IT,Seattle,69207.45
46,Associate,16,Data Scientist,Marketing,New York,132236.28
